cation,cation_charge,anion,anion_charge,solubility
H,1,SO3,-2,SL
H,1,Ge,-4,RW
H,1,IO6,-5,SL
H,1,P2O7,-4,SL
H,1,B,-3,ND
H,1,IO,-1,SL
H,1,PO4,-3,SL
H,1,ClO4,-1,SL
H,1,HCO3,-1,SL
H,1,I,-1,ND
H,1,HPO3,-2,SL
H,1,P,-3,SL
H,1,Te,-2,ND
H,1,Se,-2,ND
H,1,NO2,-1,SL
H,1,HSO3,-1,SL
H,1,ClO2,-1,SL
H,1,S,-2,SL
H,1,BrO3,-1,SL
H,1,IO4,-1,SL
H,1,H2AsO4,-1,SL
H,1,C2O4,-2,SL
H,1,AsO3,-3,SL
H,1,IO3,-1,SL
H,1,IO2,-1,SL
H,1,CO3,-2,SL
H,1,H2PO4,-1,SL
H,1,HSeO4,-1,SL
H,1,Si,-4,RW
H,1,NO3,-1,SL
H,1,SO4,-2,SL
H,1,As,-3,ND
H,1,SiO3,-2,NS
H,1,ClO3,-1,SL
H,1,O,-2,ND
H,1,H,-1,ND
H,1,Br,-1,ND
H,1,ClO,-1,SL
H,1,C,-4,SL
H,1,BrO2,-1,SL
H,1,S2O7,-2,SL
H,1,MnO4,-1,SL
H,1,HPO4,-2,SL
H,1,Cl,-1,ND
H,1,AsO4,-3,SL
H,1,SeO4,-2,SL
H,1,OH,-1,ND
H,1,BrO,-1,SL
H,1,BrO4,-1,SL
H,1,N,-3,SL
H,1,HAsO4,-2,SL
H,1,F,-1,ND
H,1,MnO4,-2,SL
H,1,Cr2O7,-2,SL
H,1,HSO4,-1,SL
Li,1,SO4,-2,SL
Li,1,NO2,-1,SL
Li,1,Cl,-1,SL
Li,1,Br,-1,SL
Li,1,F,-1,SS
Li,1,OH,-1,SL
Li,1,HSO4,-1,SL
Li,1,CO3,-2,SL
Li,1,SO3,-2,SL
Li,1,PO4,-3,NS
Li,1,HCO3,-1,SL
Li,1,NO3,-1,SL
Li,1,I,-1,SL
Li,1,S,-2,SL
Be,2,NO3,-1,SL
B,3,O,-2,ND
B,1,O,-2,ND
C,2,O,-2,ND
C,4,O,-2,ND
N,3,O,-2,ND
N,4,O,-2,ND
N,1,O,-2,ND
N,5,O,-2,ND
Na,1,HCO3,-1,SL
Na,1,CO3,-2,SL
Na,1,NO3,-1,SL
Na,1,OH,-1,SL
Na,1,PO4,-3,SL
Na,1,NO2,-1,SL
Na,1,SO4,-2,SL
Na,1,Br,-1,SL
